ID,Line,Severity,Issue summary,Issue description,Property names,Property values,Error blocks capability,Capabilities
67f41473dfd8146435ae294a,2,Recommended to improve quality,HTML format isn't supported,"Please check that your file is in the correct format. Supported file formats include CSV, TSV or RSS/ATOM XML.",description,"<p style='white-space:pre-wrap;' data-rte-preserve-empty='true'>Typotecture introduces the “Suck My Ballz!” garment-dyed t-shirt; a fully customizable tee made 100% with ring-spun cotton. The soft-washed, garment-dyed fabric brings extra coziness to your wardrobe while the relaxed fit makes it an excellent daily choice. The double-needle stitching throughout the tee makes it highly durable while the lack of side-seams helps the shirt retain its tubular shape. Discover all 58 colors in our Comfort Colors 1717 color charts below.</p><p style='white-space:pre-wrap;' data-rte-preserve-empty='true'>.: The Comfort Colors 1717 tee is made with medium fabric (6.1 oz/yd² (206.8 g/m²)) consisting of high quality, 100% ring-spun US cotton for long-lasting comfort.<br>.: The relaxed fit keeps the wearer comfy in both casual and semi-formal settings while the crew neckline delivers that classic, neat style which makes it perfect for accessorizing. <br>.: The pre-shrunk fabric ensures a consistently great fit. Check all available sizes in our Comfort Colors 1717 size chart. <br>.: All Comfort Colors 1717 shirts feature pre-shrunk cotton for size retention and a signature sewn-in twill label.<br>.: Made using 100% US cotton that is ethically grown and harvested. Gildan is also a proud member of the US Cotton Trust Protocol ensuring ethical and sustainable means of production.<br>.: Available in 58 colors. Check all available colors in our Comfort Colors 1717 color charts</p><p style='white-space:pre-wrap;' data-rte-preserve-empty='true'><br><br></p><p style='white-space:pre-wrap;' data-rte-preserve-empty='true'><strong>EU representative</strong>: Typotecture merch, branimir.sabljic@gmail.com, Kriška 22, Zagreb, Europe , 10000, HR</p><p style='white-space:pre-wrap;' data-rte-preserve-empty='true'><strong>Product information</strong>: Comfort Colors® 1717, 2 year warranty in EU and Northern Ireland as per Directive 1999/44/EC</p><p style='white-space:pre-wrap;' data-rte-preserve-empty='true'><strong>Warnings, Hazard</strong>: For adults, Made in Honduras</p><p style='white-space:pre-wrap;' data-rte-preserve-empty='true'><strong>Care instructions</strong>: Machine wash: cold (max 30C or 90F), Do not bleach, Tumble dry: low heat, Iron, steam or dry: low heat, Do not dryclean</p>",False,mini_shops
67f41473dfd8146435ae294a,2,Recommended to improve quality,URL Incorrectly Formatted,"The provided URL is formatted incorrectly. If multiple links are included in one field, separate them using a comma. Specifying username and password in the URL is not supported.",link,unisex-garment-dyed-t-shirt,False,
67f41473dfd8146435ae294a,2,Recommended to improve quality,A required field is missing,"Ne možete prenijeti artikle bez informacija 'link'. Provjerite je li to polje uključeno za svaki artikl u zasebnom, označenom stupcu.",link,,True,mini_shops:da
67f416fac2c3e8556bd98830,3,Recommended to improve quality,HTML format isn't supported,"Please check that your file is in the correct format. Supported file formats include CSV, TSV or RSS/ATOM XML.",description,"<p>Made to feel like a well-loved favorite, these tees come with a feminine fit that is as stylish as it is comfy. The ribbed knitting makes the collar highly elastic while the twill tape on the shoulder seams stabilizes the back of the shirt and prevents stretching.</p>
<p>.: 100% airlume combed and ringspun cotton (fiber content may vary for different colors)<br />.: Light fabric (4.2 oz/yd² (142 g/m²))<br />.: Slim fit with longer body length<br />.: Tear away label<br />.: Runs smaller than usual</p><br /><br /><p><strong>EU representative</strong>: Typotecture merch, branimir.sabljic&#64;gmail.com, Kriška 22, Zagreb, Europe , 10000, HR</p>
<p><strong>Product information</strong>: Bella&#43;Canvas 6004, 2 year warranty in EU and Northern Ireland as per Directive 1999/44/EC</p>
<p><strong>Warnings, Hazard</strong>: For adults</p>
<p><strong>Care instructions</strong>: Machine wash: warm (max 40C or 105F), Non-chlorine: bleach as needed, Tumble dry: low heat, Iron, steam or dry: medium heat, Do not dryclean</p>",False,mini_shops
67f416fac2c3e8556bd98830,3,Recommended to improve quality,URL Incorrectly Formatted,"The provided URL is formatted incorrectly. If multiple links are included in one field, separate them using a comma. Specifying username and password in the URL is not supported.",link,silent-judgement-t-shirt,False,
67f416fac2c3e8556bd98830,3,Recommended to improve quality,A required field is missing,"Ne možete prenijeti artikle bez informacija 'link'. Provjerite je li to polje uključeno za svaki artikl u zasebnom, označenom stupcu.",link,,True,mini_shops:da
67f41cd922e8e62c878e82c6,4,Recommended to improve quality,HTML format isn't supported,"Please check that your file is in the correct format. Supported file formats include CSV, TSV or RSS/ATOM XML.",description,"<p>These timeless high-top sneakers are made to last and to impress. Their 27.87 oz. nylon canvas along with the pleather-covered toe, and the durable rubber outsole deliver excellent durability. The 5&#34; calf height adds that classic sneaker touch, while while the breathable foam insole makes for total walking comfort. Available in US sizes 6-12.</p>
<p>.: Material: 27.87oz nylon canvas<br />.: Durable rubber outsole<br />.: 6-12 US size<br />.: Black stitching and interior<br />.: 5&#34; calf height</p><br /><br /><p><strong>EU representative</strong>: Typotecture merch, branimir.sabljic&#64;gmail.com, Kriška 22, Zagreb, Europe , 10000, HR</p>
<p><strong>Product information</strong>: Generic brand, 2 year warranty in EU and Northern Ireland as per Directive 1999/44/EC</p>
<p><strong>Care instructions</strong>: To maintain clean, use warm water with dish soap to clean off any dirt spots. It’s not necessary to soak the whole item. For hard-to-clean spots, use a soft-bristled brush.</p>",False,mini_shops
67f41cd922e8e62c878e82c6,4,Recommended to improve quality,URL Incorrectly Formatted,"The provided URL is formatted incorrectly. If multiple links are included in one field, separate them using a comma. Specifying username and password in the URL is not supported.",link,womens-classic-sneakers-silent-judgement,False,
67f41cd922e8e62c878e82c6,4,Item not uploaded,Item belongs to Primary Feed Not Linked To Supplementary Feed,Item belongs to a primary feed which is not linked with supplementary feed updating the item.,id,67f41cd922e8e62c878e82c6,False,
67f41cd922e8e62c878e82c6,4,Recommended to improve quality,A required field is missing,"Ne možete prenijeti artikle bez informacija 'link'. Provjerite je li to polje uključeno za svaki artikl u zasebnom, označenom stupcu.",link,,True,mini_shops:da
